2019/1/14 星期一 14:40:52	正在初始化...已完成

2019/1/14 星期一 14:40:53	链接12306服务器速度:515毫秒[良]

2019/1/14 星期一 14:40:53	您的VIP即将到期,续期请在赞助窗口申请续期

2019/1/14 星期一 14:40:54	获取到:1307个CDN,开始智能测速中...

2019/1/14 星期一 14:59:36	您的VIP即将到期,续期请在赞助窗口申请续期

2019/1/14 星期一 14:59:36	当前账号：hechaodp

2019/1/14 星期一 14:59:36	登录完毕，登录名称：formblackt@gmail.com

2019/1/14 星期一 14:59:57	查询完毕,本次查询共用时:469毫秒

2019/1/14 星期一 15:00:16	[多日期]每多一个日期将多查询一次，频率过快，容易被限制，不建议设置多个日期，如非要设置，请尽量少的添加！

2019/1/14 星期一 15:00:25	查询完毕,本次查询共用时:1799毫秒

2019/1/14 星期一 15:00:37	查询完毕,本次查询共用时:1051毫秒

2019/1/14 星期一 15:00:50	查询完毕,本次查询共用时:1440毫秒

2019/1/14 星期一 15:01:24	查询完毕,本次查询共用时:11133毫秒

2019/1/14 星期一 15:01:48	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:01:53	结束车票查询

2019/1/14 星期一 15:01:58	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:02:00	开始预订K4108次列车车票...

2019/1/14 星期一 15:02:00	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:02:00	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:02:01	[任务2]实时余票为(1)张,继续提交...

2019/1/14 星期一 15:02:01	[任务4]当前无需验证码,开始提交订单...

2019/1/14 星期一 15:02:01	[任务5]快速出票安全期,等待2691ms

2019/1/14 星期一 15:02:04	[提交成功]等待处理,本次用时:3.51秒

2019/1/14 星期一 15:02:06	[获取结果]12306:尊敬的旅客，您的证件-黄钟鼎(421122198805026339)已订车票与本次购票行程冲突，请将已购车票办理改签，或办理退票后重新购票；如您确认此身份信息被他人冒用，请点击“网上举报”并确认后，可以继续购票。谢谢您的合作。

2019/1/14 星期一 15:02:06	[待处理]已停止任务,等待用户处理

2019/1/14 星期一 15:03:32	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:03:47	开始预订K4108次列车车票...

2019/1/14 星期一 15:03:47	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:03:47	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:03:48	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 15:03:48	[返回无票]该数据为缓存,将K4108车次放入小黑屋60秒...

